C226打印复印总数量 
上次计数数量
         日期              总计    黑色    彩色
2019年12月12日   15643  14722    921

上次计数数量
         日期              总计    黑色    彩色
2020年07月06日   42775  37574  5181

本期结算数量 半年 控制在下面范围内
         日期              总计    黑色    彩色
2021年1月5日                  67574  6981

本次计数数量
         日期              总计    黑色     本月剩余    彩色     本月剩余
2020年07月11日   44036   38790    5246
2020年07月13日   44251   38991    5260
2020年07月14日   44371   39111    3463         5260     221
2020年07月15日   44400   39140    3434         5260     221
2020年07月16日   44572   39240    3334         5332     149
2020年07月17日   44704   39369    3205         5335     146
2020年07月20日   44878   39530    3044         5348     133
2020年07月21日   45094   39745    2829         5349     132
2020年07月22日   45133   39778    2796         5355     126
2020年07月23日   45201   39846    2728         5355     126
2020年07月24日   45268   39907    2667         5361     120
2020年07月25日   45284   39923    2651         5361     120
2020年07月27日   45369   40008    2566         5361     120
2020年07月28日   45550   40168    2406         5382     99
2020年07月29日   45623   40241    2333         5382     99
2020年07月30日   45788   40406    2168         5382     99
2020年07月31日   45925   40488    2086         5437     44
2020年08月01日   45933   40493    2081         5440     41
2020年08月03日   45957   40512    2062         5445     36
2020年08月05日   46469   41023    6551         5446     335
